发生日期,基金编号,基金名称,证券代码,证券名称,委托方向,成交数量,成交金额,成交次数,成交均价,成交最低价,成交最高价,市场成交均价,最新价,数量成交比例(%),持仓,市场成交金额,成交均价(全价),交易市场,市场成交数量,组合编号,组合名称,委托数量,市场最高价,市场最低价,委托次数,交易员,资产类别,涨跌幅(%),金额成交比例(%),价格差额比例(%),指令数量,资产单元序号,资产单元名称,币种,交易席位,投资类型,资产单元编号,股东代码,成交量占昨日持仓量(%),指令下达人,本币币种,本币成交金额,指令操作级别,账户组类型,账户组,成交金额占净值(%),券商编号,券商名称,业务分类
2012-12-11,1,德邦优化配置,600426,华鲁恒升,买入,399949,2694462.24,69,6.737014569,6.7,6.79,6.69,6.63,2.5772,399949,103885325,6.737014569,上交所A,15518496,10000000,缺省组合,399949,6.83,6.56,12,罗韵峰,股票资产,-0.1506,2.5937,-0.6379,400000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,2694462.24,无, , ,1.9161,,,交易所业务
2012-12-11,1,德邦优化配置,600563,法拉电子,买入,100000,1299934,72,12.99934,12.98,13,13.02,13.01,7.3821,357601,1.76E+07,12.99934,上交所A,1354628,10000000,缺省组合,100000,13.14,12.95,49,罗韵峰,股票资产,-0.9139,7.3694,0.1728,100000,1,缺省单元,人民币,24978,可交易,1,N/A,38.81972508,白仲光-基金经理,人民币,1299934,无, , ,0.9244,,,交易所业务
2012-12-11,1,德邦优化配置,600823,世茂股份,卖出,150000,1521544,49,10.14362667,10.11,10.21,10.19,10.08,8.0384,0,19020897,10.14362667,上交所A,1866033,10000000,缺省组合,150000,10.29,10.06,21,高继萍-交易员,股票资产,-1.85,7.9993,-0.4866,150000,1,缺省单元,人民币,24978,可交易,1,N/A,100,白仲光-基金经理,人民币,1521544,无, , ,1.0820,,,交易所业务
2012-12-11,1,德邦优化配置,601166,兴业银行,卖出,129920,1828370.19,29,14.07304641,14.06,14.09,14.11,14.04,0.2056,200000,891578488,14.07304641,上交所A,63178690,10000000,缺省组合,129920,14.23,14.01,8,高继萍-交易员,股票资产,-0.9873,0.2051,-0.2764,129920,1,缺省单元,人民币,24978,可交易,1,N/A,39.37924345,白仲光-基金经理,人民币,1828370.19,无, , ,1.3002,,,交易所业务
2012-12-11,1,德邦优化配置,601169,北京银行,卖出,500000,4027914.3,18,8.0558286,8.01,8.09,8.12,8.14,1.0669,0,380493379,8.0558286,上交所A,46862642,10000000,缺省组合,500000,8.19,7.99,2,高继萍-交易员,股票资产,1.118,1.0586,-0.7821,500000,1,缺省单元,人民币,24978,可交易,1,N/A,100,白仲光-基金经理,人民币,4027914.3,无, , ,2.8644,,,交易所业务
2012-12-11,1,德邦优化配置,601766,中国南车,买入,194987,955436.3,27,4.9,4.9,4.9,4.91,4.91,0.8073,1144987,118678896,4.9,上交所A,24152173,10000000,缺省组合,200000,4.97,4.89,4,罗韵峰,股票资产,-1.6032,0.8051,0.2808,200000,1,缺省单元,人民币,24978,可交易,1,N/A,20.52494737,白仲光-基金经理,人民币,955436.3,无, , ,0.6794,,,交易所业务
2012-12-11,1,德邦优化配置,000046,泛海建设,卖出,441127,1726588.84,63,3.914040265,3.9,3.96,3.97,3.96,7.4205,0,23606618,3.914040265,深交所A,5944746,10000000,缺省组合,441127,4.02,3.9,8,高继萍-交易员,股票资产,-0.5025,7.314,-1.4354,441127,1,缺省单元,人民币,391852,可交易,1,N/A,100,白仲光-基金经理,人民币,1726588.84,无, , ,1.2278,,,交易所业务
2012-12-11,1,德邦优化配置,000069,华侨城Ａ,卖出,500000,3086770.41,46,6.17354082,6.12,6.2,6.18,6.19,1.5266,0,202558608.7,6.17354082,深交所A,32751981,10000000,缺省组合,500000,6.23,6.12,13,高继萍-交易员,股票资产,-0.4823,1.5239,-0.1795,500000,1,缺省单元,人民币,391852,可交易,1,N/A,100,白仲光-基金经理,人民币,3086770.41,无, , ,2.1951,,,交易所业务
2012-12-11,1,德邦优化配置,002024,苏宁电器,买入,200000,1246000,9,6.23,6.23,6.23,6.24,6.19,0.3804,726400,327836589.2,6.23,深交所A,52575357,10000000,缺省组合,200000,6.31,6.18,2,罗韵峰,股票资产,-2.057,0.3801,0.0898,200000,1,缺省单元,人民币,391852,可交易,1,N/A,37.99392097,白仲光-基金经理,人民币,1246000,无, , ,0.8861,,,交易所业务
2012-12-11,1,德邦优化配置,300145,南方泵业,买入,99983,1728440.9,74,17.28734785,17.2,17.3,17.35,17.16,10.3684,488683,16735243.85,17.28734785,深交所A,964303,10000000,缺省组合,99983,17.72,17.16,115,罗韵峰,股票资产,-2.7762,10.3281,0.3889,100000,1,缺省单元,人民币,391852,可交易,1,N/A,25.72240803,白仲光-基金经理,人民币,1728440.9,无, , ,1.2292,,,交易所业务
